               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.014974,           0.0075765,           0.0010706,             0.98199,             0.97848,             0.97776,             0.87649,           0.0083732,           0.0040907,           0.0040489,            0.005314,            0.005314,            0.005314
                 144,            0.014807,           0.0075347,           0.0012865,             0.97689,               0.978,             0.97526,             0.87416,           0.0081941,           0.0039737,            0.004555,            0.005281,            0.005281,            0.005281
                 145,            0.014736,           0.0074067,           0.0011494,             0.97804,             0.97657,             0.97758,              0.8827,           0.0080464,            0.003952,           0.0040249,            0.005248,            0.005248,            0.005248
                 146,            0.014624,           0.0074207,           0.0010083,             0.97894,               0.978,             0.97623,             0.87369,           0.0084376,           0.0040445,            0.004319,            0.005215,            0.005215,            0.005215
                 147,            0.014833,           0.0074821,            0.001028,             0.97868,             0.97915,             0.97978,             0.87272,           0.0082329,           0.0040003,           0.0042822,            0.005182,            0.005182,            0.005182
                 148,            0.014349,           0.0074627,             0.00102,             0.98187,             0.97886,             0.97913,              0.8767,           0.0082978,           0.0039791,           0.0044267,            0.005149,            0.005149,            0.005149
                 149,            0.014617,            0.007224,             0.00111,             0.98107,             0.97888,             0.98023,             0.87569,           0.0081625,           0.0040653,             0.00406,            0.005116,            0.005116,            0.005116
                 150,            0.014657,           0.0074052,           0.0011014,             0.97844,             0.97851,             0.97581,             0.87888,           0.0080253,           0.0041614,           0.0041826,            0.005083,            0.005083,            0.005083
                 151,            0.014454,           0.0074858,            0.001188,             0.97921,              0.9791,              0.9772,             0.87086,            0.008344,           0.0039123,           0.0042411,             0.00505,             0.00505,             0.00505
                 152,            0.014469,           0.0074577,           0.0010694,             0.97987,             0.98115,             0.97796,             0.88314,           0.0078387,           0.0038186,           0.0041343,            0.005017,            0.005017,            0.005017
                 153,            0.014161,            0.007473,             0.00122,             0.97588,             0.98115,             0.97884,             0.88139,           0.0080517,           0.0039537,           0.0042707,            0.004984,            0.004984,            0.004984
                 154,            0.014318,           0.0073723,           0.0012228,             0.97405,               0.978,             0.97766,             0.86992,           0.0085938,           0.0040531,           0.0047755,            0.004951,            0.004951,            0.004951
                 155,            0.014444,           0.0074897,           0.0011336,             0.97772,              0.9783,             0.97728,              0.8819,           0.0080533,           0.0039809,           0.0043904,            0.004918,            0.004918,            0.004918
